name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
hibonite,oxide minerals,"(ca,ce)(al,ti,mg)12o19",hexagonal,brownish black to black; reddish brown in thin fragments; blue in meteorite occurrence,prismatic platy to steep pyramidal crystals,subconchoidal,7+1⁄2-8,vitreous,3.84,,uniaxial (-),"nω = 1.807(2), nε = 1.79(1)",,o = brownish gray; e = gray,,,hbn[1],dihexagonal dipyramidal (6/mmm)h-m symbol: (6/m 2/m 2/m),p63/mmc,"a = 5.56, c = 21.89[å]; z=2",,"{0001} good, {1010} parting",,reddish brown,semitransparent,,,4.cc.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baryte,"sulfate mineral, barite group",baso4,orthorhombic,"colorless, white, light shades of blue, yellow, grey, brown","tabular parallel to base, fibrous, nodular to massive",irregular/uneven,3-3.5,"vitreous, pearly",4.3–5,,biaxial positive,nα = 1.634–1.637nβ = 1.636–1.638nγ = 1.646–1.648,0.012,,,,brt[1],dipyramidal (mmm)h-m symbol: (2/m 2/m 2/m),pnma,"a = 8.884(2)å,b = 5.457(3)å,c = 7.157(2)å; z=4",,"perfect cleavage parallel to base and prism faces: {001} perfect, {210} perfect, {010} imperfect",brittle,white,transparent to opaque,,"4, yellowish green barium flame",7.ad.35,,28.03.01.01,4.48 g/cm3[2],,low,,,,,,,,,,,,,,"white color, high specific gravity, characteristic cleavage and crystals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kunzite,inosilicate,"lithium aluminium silicate, lial(sio3)2",monoclinic,"highly variable: white, colorless, gray, pink, lilac, violet, yellow and green, may be bicolored; emerald green - hiddenite; lilac - kunzite; yellow - triphane","prismatic, generally flattened and elongated, striated parallel to {100}, commonly massive",uneven to subconchoidal,6.5–7,"vitreous, pearly on cleavage",3.03–3.23,,biaxial (+),nα = 1.648–1.661 nβ = 1.655–1.670 nγ = 1.662–1.679,δ = 0.014–0.018,"strong in kunzite: α-purple, γ-colorless; hiddenite: α-green, γ-colorless",,,spd[1],prismatic (2/m) (same h-m symbol),c2/c,"a = 9.46å, b = 8.39å c = 5.22å β = 110.17°; z=4",,"perfect prismatic, two directions {110} ∧ {110} at 87°",brittle,white,,54° to 69°,3.5,,common on {100},,,,insoluble,,,,"tenebrescence, chatoyancy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scapolite,tectosilicates,,,,,,,,,,,,,,,,scp[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peridot,silicate minerals,"(mg, fe)2sio4",orthorhombic,"yellow, to yellow-green, olive-green, to brownish, sometimes a lime green, to emerald-ish hue",,conchoidal,6.5–7,vitreous to oily,3.2–4.3,,,1.64–1.70,+0.036,"weak pale yellow-green to yellow, yellow to yellow orange",,,,,,,,"poor on {010} and {110}, {010} cleavage improves with increasing iron content",,colorless,translucent to transparent,,infusible avoid thermal shock,,"uncommon, simple twinning can occur on {100}, {011},{012}, cyclic twinning on {031}",,,,slow in hcl to form gelatinous silica,,,,,,very high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chiolite,mineral,na5al3f14,tetragonal,"nearly colorless, snow white",,,2.5,"vitreous, pearly, greasy",2.998,,uniaxial (-),nω = 1.349 nε = 1.342,0.007,,,,cio[1],ditetragonal dipyramidal - 4/mmm (4/m 2/m 2/m),p4/mnc,511.06 å³,461.8711070,perfect on {001} distinct on {011},,white,"transparent, translucent",,,03.ce.05,on {011},11.06.11.01,measured: 2.998 calculated: 2.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismatine,sorosilicate,"([ ],fe,mg)(mg,al,fe)5al4si2(si,al)2(b,si,al)(o,oh,f)22",orthorhombic,"yellow brown, green brown, brown green",,,,,3.34,,biaxial (-),,,,,,prm[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),cmcm,,,,,,,,,9.bj.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afghanite,tectosilicates,"(na,k)22ca10[si24al24o96](so4)6cl6",trigonal,"light blue, dark blue","lath shaped crystals, rounded grains",conchoidal,51⁄2 - 6,vitreous,2.55 - 2.65,,uniaxial (+),nω = 1.523 nε = 1.529,δ = 0.006,,,,afg[1],ditrigonal pyramidal (3m) h-m symbol: (3m),p31c[2],"a = 12.796, c = 21.409[å]; z=1",,perfect {1010},,white,transparent,,,9.fb.05,,,,,,,,, radioactive 2.28% (k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kimberlite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,felsic,"potassium feldspar, plagioclase feldspar, and quartz","differing amounts of muscovite, biotite, and hornblende-type amphiboles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dravite,cyclosilicate,"(ca,k,na, ▢)(al,fe,li,mg,mn)3(al,cr,fe,v)6(bo3)3(si,al,b)6o18(oh,f)4[1][2]",trigonal,"most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. it can also be bi-colored, or even tri-colored. rarely, it can be found as neon green or electric blue.","parallel and elongated; acicular prisms, sometimes radiating; massive; scattered grains (in granite)","uneven, small conchoidal",7.0–7.5,"vitreous, sometimes resinous",3.06+0.20−0.06[1],vitreous[1],"double-refractive, uniaxial negative[1]",nω = 1.635–1.675nε = 1.610–1.650,−0.018 to −0.040; typically about −0.020 but in dark stones it may reach −0.040[1],"
typically moderate to strong[1]
red: definite; dark red, light red
green: strong; dark green, yellow-green
brown: definite; dark brown, light brown
blue: strong; dark blue, light blue
",pink stones; inert to very weak red to violet in long and short wave[1],"strong narrow band at 498nm, and almost complete absorption of red down to 640nm in blue and green stones; red and pink stones show lines at 458 and 451nm, as well as a broad band in the green spectrum[1]",tur[3],ditrigonal pyramidal (3m)h-m symbol: (3m),r3m (no. 160),,,indistinct,brittle,white,translucent to opaque,,,,,,2.82–3.32,0.017[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rubellite,tourmaline[1],,,"red, pink, pinkish, violet-red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chalcedony,"oxide minerals, quartz group","silica (silicon dioxide, sio2)",trigonal or monoclinic,various,,"uneven, splintery, conchoidal",6–7,"waxy, vitreous, dull, greasy, silky",2.59–2.61,,,,,,,,,,,,60 g/mol,absent,,white,translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trinitite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eosphorite,phosphate mineral,mnal(po4)(oh)2·h2o,orthorhombic,"usually pale brown, golden brown, also medium brown to dark brown; occasionally pink, rose red","prismatic in radiating sprays or spheres, massive; twinned pseudo-orthorhombic",subconchoidal to uneven,5,"vitreous, resinous",3.06 – 3.08,,biaxial (-),nα = 1.628 - 1.639 nβ = 1.648 - 1.664 nγ = 1.657 - 1.671,δ = 0.029 - 0.032,visible: x = yellow; y = pink; z = pale pink to colorless,,,eos[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),cmca,"a = 10.455(1), b = 13.501(2) c = 6.928(1)[å]; β = 90°; z=8",,poor on {100},,white,transparent to translucent,measured: 50°,,8.dd.20,may be observed on {100} and {001},,,,,,,,,,,,,,,,,,,oxidizes to brown or black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metal-coated crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epidosite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquamarine,beryl variety,be3al2si6o18,,,,conchoidal,7.5 to 8,,2.65-2.85,,,,,,,,,,,,,,,white[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crocidolite,silicate mineral,na2(fe2+3fe3+2)si8o22(oh)2,monoclinic,"black, dark blue; dark blue to yellow-green in thin section","as prismatic crystals, commonly fibrous, asbestiform; earthy, massive",conchoidal to uneven,6,vitreous to silky,3.28–3.44,,biaxial (-),nα = 1.680–1.698 nβ = 1.683–1.700 nγ = 1.685–1.706,δ = 0.005–0.008,"x = blue, indigo; y = yellowish green, yellow brown; z = dark blue",,,rbk[1],prismatic (2/m) (same h-m symbol),c2/m,"a = 9.76å, b = 18.04å c = 5.33å; β = 103.59°; z=2",,"perfect on {110}, intersecting at 56° and 124°; partings on {100} and {010}",brittle,pale to bluish gray,semitransparent,"measured: 68° to 85°, calculated: 62° to 78°",,,simple or multiple twinning parallel to {100},,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larimar,inosilicate mineral,naca2si3o8(oh),triclinic,"shades of blue, blue-green","tabular to acicular, radiating fibrous, spheroidal, or columnar; massive",uneven,4.5 - 5,"silky, subvitreous",2.84 - 2.90,,biaxial (+),nα = 1.594 - 1.610 nβ = 1.603 - 1.614 nγ = 1.631 - 1.642,δ = 0.037,,,,,pinacoidal (1) (same h-m symbol),p1,"a = 7.99å, b = 7.03å, c = 7.03å; α = 90.51°, β = 95.21°, γ = 102.53°; z=2",,perfect on {100} and {001},brittle; tough when compact,,translucent to opaque,"measured: 50° to 63°, calculated: 42° to 60°",,,"twin axis [010] with composition plane [100], common",,,r > v weak to very strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceylonite,oxide minerals spinel group spinel structural group,"(mg,fe)al2o4",isometric,"various; red to blue to mauve, dark green, brown, black","cubic, octahedral","conchoidal, uneven",7.5–8.0,vitreous,3.6–3.9,,isotropic,1.770-1.780,,absent,,,,,,,,indistinct,,white,transparent to translucent,,,,,,,,none,,,,"nonmagnetic, non-radioactive, sometimes fluorescent (red)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinochlore,phyllosilicates,"(mg,fe)3(si,al)4o10(oh)2·(mg,fe)3(oh)6",monoclinic 2/m; with some triclinic polymorphs.,"various shades of green; rarely yellow, red, or white.","foliated masses, scaley aggregates, disseminated flakes.",lamellar,2–2.5,"vitreous, pearly, dull",2.6–3.3,,,1.57–1.67,,,,,chl[1],,,,,perfect 001,,pale green to grey,,,,,,,,,,,,,folia flexible – not elastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
padparadscha,oxide mineral,"aluminium oxide, al2o3",trigonal,"typically blue, but varies","as crystals, massive and granular","conchoidal, splintery",9.0,vitreous,3.98–4.06,,abbe number 72.2,"nω = 1.768–1.772 nε = 1.760–1.763, birefringence 0.008",,strong,,,,hexagonal scalenohedral (3m) h-m symbol: (32/m),r3c,,,poor,,colorless,transparent to nearly opaque,,infusible,,both growth twins (in various orientations) and polysynthetic glide twinning on the rhombohedron [1011,,,,insoluble,,,,"coefficient of thermal expansion (5.0–6.6)×10−6/k[citation needed]
relative permittivity at 20 °c ε = 8.9–11.1 (anisotropic)[1]",,"2,030–2,050 °c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hambergite,borate mineral,be2bo3oh,orthorhombic,"colorless, pale gray, pale yellow",prismatic crystals,,7.5,vitreous,2.347–2.372,,biaxial (+),nα = 1.554 - 1.560 nβ = 1.587 - 1.591 nγ = 1.628 - 1.631,δ = 0.074,colorless,,,hb[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbca,"a = 9.76, b = 12.20 c = 4.43[å]; z=8",,"perfect on {010}, good on {100}",brittle,white,transparent to translucent,87°,,6.ab.05,on {110},,,,soluble in hf (hydrogen fluoride),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yttrium iron garnet,synthetic mineral,y3fe2(feo4)3 or y3fe5o12,,green[1],,,,,,,,,,,,,,,,,737.94[1],,,,,,,,,,5.11 g/cm3[1],,,,,,ferrimagnetic material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chiastolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire agate,oxide mineral,"silica (silicon dioxide, sio2)","trigonal, monoclinic",blue to yellow to red,,"uneven, splintery, conchoidal",6 - 7,"waxy, vitreous, dull, greasy, silky",2.59 - 2.61,,,,,,,,,,,,60 g / mol,absent,,,translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euxenite,oxide minerals,"(y,ca,ce,u,th)(nb,ta,ti)2o6",orthorhombic,"black, brownish black,greenish black","massive, anhedral crystals in matrix",conchoidal to subconchoidal,5.5 to 6.5,"brilliant submetallic, waxy to resinous on fractures",4.7 to 5,,isotropic,n = 2.06 - 2.24,,,,,eux[1],,pcmn (no. 62),,,none,,"yellowish, grayish, or reddish brown","opaque, translucent on thin edges",,,4.dg.05,common on [201],,,,,,,,"metamict - originally crystalline, now amorphous due to radiation damage.  radioactive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sperrylite,arsenide mineral pyrite group,ptas2,isometric,tin white,"well-formed finely crystalline, massive to reniform",conchoidal,6 - 7,metallic,10.58,,,,,,,,spy[1],diploidal (m3) h-m symbol: (2/m 3),pa3,"a = 5.967å, z=4",,indistinct on {001},brittle,black,,,,2.eb.05a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triplite,phosphate minerals,"(mn,fe)2(po4)(f,oh)",monoclinic,"chestnut to reddish brown, flesh-red, salmon-pink","prismatic, massive to nodular",uneven to subconchoidal,5 to 5.5,vitreous to resinous,3.5 - 3.9,,biaxial (+),"nα=1.643–1.684, nβ=1.647–1.693, nγ=1.668–1.703",,distinct; yellow-brown to reddish brown,,,trl[1],prismatic (2/m) (same h-m symbol),i2/a (no. 15),"a = 11.97å, b = 6.52å c = 10.09å; β = 105.62°; z=8",,"good on {001}, fair on {010}, poor on {100}",,white to brown,translucent to opaque,25 - 76°,,8.bb.10,,,,"r > v, moderate to strong",,,,,,,,,,,,,,,,alters to brownish black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mellite,organic minerals,al2[c6(coo)6]·16h2o,tetragonal,"honey-yellow, deep red, pale shades of red, brown, gray, white;","elongated bipyramidal prismatic; as nodules and coatings, fine-grained massive",conchoidal,2-2+1⁄2,"vitreous, resinous, greasy",1.64,,uniaxial (-) may be anomalously biaxial,nω = 1.539 nε = 1.511,δ = 0.028,weak; o = yellowish brown; e = yellow,pale yellow to blue (lw & sw uv),,mel[1],ditetragonal dipyramidal (4/mmm) h-m symbol: (4/m 2/m 2/m),i41/acd,"a = 15.53å, c = 23.19å; z=8",,poor/indistinct on {023},slightly sectile,white,transparent to translucent,,,10.ac.05,,,,,,,,,pyroelectric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topazolite,garnet group,ca3fe2(sio4)3,cubic,"yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored","commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive",conchoidal to uneven,6.5 to 7,"adamantine to resinous, dull",3.859 calculated; 3.8–3.9 measured,,"isotropic, typically weakly anisotropic",n = 1.887,,,,"demantoid – 440nm band or complete absorption at 440nm and below, may also have lines at 618, 634, 685, 690nm [2]",adr[1],hexoctahedral (m3m) h-m symbol: (4/m 3 2/m),ia3d,a = 12.056å; z=8,,none,brittle,white,transparent to translucent,,,9.ad.25,,,,,,,,,,,,,,,,,,,,,transparent light to dark green to yellow-green,opaque black,"transparent to translucent yellow, may show chatoyancy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,inosilicates,ca2(mg4.5-2.5fe2+0.5-2.5) si8o22(oh)2,monoclinic,"pale to dark green, yellowish green, blue and black. white or grey when in asbestos","bladed, fibrous, radial",uneven,5–6,vitreous to dull,"3.00 (+0.10, -0.05)",vitreous,biaxial (-),nα = 1.613–1.628 nβ = 1.627–1.644 nγ = 1.638–1.655,0.0250-0.0270,"moderate, yellow to dark green (in stones that are transparent)",inert,faint line at 503 nm,act[1],prismatic (2/m) (same h-m symbol),c2/m,,,perfect along {110}.,,white,translucent to transparent,"78–82° (calc), 84–73° (meas)",,9.de.10,simple or lamellar,,,r < v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tektites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jet,mineraloid,"variable, but rich in carbon",,"black, occasionally brown",,conchoidal,2.5–4.0,,1.3–1.4,,isotropic,1.640–1.680,,,none,,,,,,,none,brittle,brown,,,,,,,,none; opaque,,,,,,,,"iron, sulfur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canasite,mineral,k3na3ca5si12o30(oh)4,monoclinic,"brownish yellow, green yellow, light green",,splintery,5 - 6,vitreous,2.707,,biaxial (-),nα = 1.534 nβ = 1.538 nγ = 1.543,0.009,none,,,cns[1],monoclinic-prismatic,,"1,596.05",,"perfect 1 direction, good 1 direction",,"white, clear","transparent, translucent",measured 58° calculated 84°,easily fusible to a transparent glass,09.dg.80,polysynthetic,78.05.04.01,2.707,weak r > v,readily decomposed by acids,,,, radioactive 1.12% (k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k3na3ca5si12o30f4 · h2o,"k3na3ca5(si12o30)[f,(oh)]4·(h2o)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moonstone,orthoclase variety,"(na,k)alsi3o8",,"can be numerous colors, including blue, grey, white, pink, peach, green and brown, as well as colorless",,uneven to conchoidal,6.0,opalescent,2.61,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinaksite,silicate mineral,"k2na(ca,mn2+)2tio[si7o18(oh)]",triclinic,"pink, pale yellow, light brown","fibrous, crystalline or prismatic, crystalline, or radial, crystalline",,6,vitreous to glassy,2.82,,biaxial (+),nα = 1.593 nβ = 1.621 nγ = 1.666,δ = 0.073,,,,tnk[1],pinacoidal (1) (same h-m symbol),p1,,,"perfect in one direction, indistinct in one direction",,white,transparent to translucent,,,9.dg.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millerite,sulfide mineral,nis,trigonal,"pale brass-yellow to bronze-yellow, tarnishes to iridescence",typically acicular (needle-like) often in radial sprays - also massive,uneven,3 - 3.5,metallic,5.3 - 5.5,,,,,,,,mlr[1],ditrigonal pyramidal (3m) (same h-m symbol),r3m,"a = 9.607å, c = 3.143å; z=9",,perfect on {1011} and {0112} - obscured by typical form,brittle; capillary crystals elastic,greenish black,opaque,,,2.cc.20,,,,,,,,,brittle and becomes magnetic on heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
